DATE,BAMLC0A4CBBBEY
2023-05-08,5.58
2023-05-09,5.60
2023-05-10,5.50
2023-05-11,5.47
2023-05-12,5.53
2023-05-15,5.57
2023-05-16,5.62
2023-05-17,5.67
2023-05-18,5.74
2023-05-19,5.77
2023-05-22,5.78
2023-05-23,5.76
2023-05-24,5.81
2023-05-25,5.88
2023-05-26,5.89
2023-05-29,5.90
2023-05-30,5.75
2023-05-31,5.73
2023-06-01,5.69
2023-06-02,5.77
2023-06-05,5.77
2023-06-06,5.77
2023-06-07,5.84
2023-06-08,5.78
2023-06-09,5.83
2023-06-12,5.81
2023-06-13,5.88
2023-06-14,5.86
2023-06-15,5.77
2023-06-16,5.80
2023-06-19,5.80
2023-06-20,5.76
2023-06-21,5.76
2023-06-22,5.82
2023-06-23,5.79
2023-06-26,5.76
2023-06-27,5.81
2023-06-28,5.76
2023-06-29,5.86
2023-06-30,5.83
2023-07-03,5.87
2023-07-04,5.87
2023-07-05,5.90
2023-07-06,6.01
2023-07-07,6.00
2023-07-10,5.95
2023-07-11,5.92
2023-07-12,5.78
2023-07-13,5.67
